策略名称,回测开始,回测结束,本金,回测耗时,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间
2022_origin_py/10.期货macd简单择时，atp止损,2023/9/1,2026/2/21,200000,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022_origin_py/14.银行股价值定投,2023/9/1,2026/2/21,200000,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022_origin_py/15.A股-宏观动量-v5-Clone1,2023/9/1,2026/2/21,200000,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022_origin_py/17.多因子系列-多因子模型体系之因子组合的确定,2023/9/1,2026/2/21,200000,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022_origin_py/100.实战型小盘价值策略--14年30倍,2023/9/1,2026/2/21,200000,01分54秒,60.10%,21.86%,29.35%,23.77%,0.146,0.603,0.953,0.719,5.169,21.02%,1.144,0.05%,22.37%,0.439,0.563,410,160,0.737,0.187,0.176,"2023/11/23,2024/02/07"
2022_origin_py/43.股指期货&quot;蜘蛛网策略&quot; ——从成交持仓表中捕捉知情投资者行为,2023/9/1,2026/2/21,200000,00分51秒,59.44%,21.65%,28.82%,23.77%,0.195,-0.342,0.389,0.5,14.673,34.90%,0.643,0.09%,47.19%,0.144,0.504,1,1,0.242,0.454,0.176,"2023/12/19,2024/09/25"
2022_origin_py/1.易方达二八轮动测试,2023/9/1,2026/2/21,200000,00分10秒,55.87%,20.50%,25.93%,23.77%,0.142,0.426,1.1,0.762,6.337,10.43%,1.467,0.04%,25.97%,0.377,0.513,16,5,0.676,0.15,0.176,"2025/10/29,2025/11/21"
2022_origin_py/28.etf轮动的优化，680%收益,2023/9/1,2026/2/21,200000,00分39秒,47.44%,17.72%,19.12%,23.77%,0.085,0.974,0.547,0.652,2.045,25.43%,0.77,0.04%,16.97%,0.202,0.539,163,87,0.456,0.251,0.176,"2024/10/08,2024/10/17"
2022_origin_py/13.利用股息率长线选股【超稳】,2023/9/1,2026/2/21,200000,01分45秒,40.38%,15.32%,13.42%,23.77%,0.085,0.533,0.616,0.625,2.117,19.78%,0.877,0.03%,32.33%,0.081,0.504,10,6,0.334,0.184,0.176,"2024/10/08,2025/04/30"
2022_origin_py/12.回馈社区，分享市盈率股息率选股+均线止盈交易策略,2023/9/1,2026/2/21,200000,,30.50%,11.83%,5.43%,23.77%,0.045,0.618,0.398,1,77145.88,18.93%,0.638,0.02%,19.56%,-0.099,0.494,16,0,0.139,0.197,0.176,"2024/04/18,2024/09/10"
2022_origin_py/22.多因子系列：基于多因子框架的收益预测模型,2023/9/1,2026/2/21,200000,03分50秒,30.12%,11.70%,-10.02%,44.61%,0.031,0.361,0.583,0.552,2.645,11.05%,0.708,-0.01%,33.71%,-0.459,0.516,502,408,-0.279,0.132,0.236,"2024/10/08,2024/10/11"
2022_origin_py/11.林奇PEG选股轮动，十年20倍，有止损模块,2023/9/1,2026/2/21,200000,00分26秒,7.73%,3.18%,-12.96%,23.77%,-0.042,0.629,-0.047,0.591,1.377,15.54%,-0.052,-0.02%,27.79%,-0.644,0.497,110,76,-0.41,0.175,0.176,"2024/12/12,2025/05/30"
2022_origin_py/38.【期货策略】钢厂利润模型-螺纹钢铁矿石焦炭套利,2023/9/1,2026/2/21,200000,00分14秒,4.92%,2.04%,1.39%,3.48%,-0.038,-0.732,-0.517,0.593,1.494,5.08%,-0.741,0.00%,5.85%,-0.897,0.491,16,11,0.155,0.038,0.002,"2024/08/28,2025/01/27"
2022_origin_py/19.a股跳一跳复现v4,2023/9/1,2026/2/21,200000,00分15秒,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01"
2022_origin_py/2.高收益中小板小流通市值次新股策略无择时,2023/9/1,2026/2/21,200000,00分09秒,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01"
2022_origin_py/23盘口信息获取与判断,2023/9/1,2026/2/21,200000,00分10秒,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01"
2022_origin_py/25.股指期货套利策略,2023/9/1,2026/2/21,200000,00分14秒,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01"
2022_origin_py/27.海龟交易体系-多资产版,2023/9/1,2026/2/21,200000,00分19秒,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01"
2022_origin_py/3.次新无止损-暂时最优策略,2023/9/1,2026/2/21,200000,,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01"
2022_origin_py/31.再次抛砖,2023/9/1,2026/2/21,200000,00分25秒,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01"
2022_origin_py/32.行业指数轮动,2023/9/1,2026/2/21,200000,00分10秒,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01"
2022_origin_py/33.ETF单均线跟踪轮动,2023/9/1,2026/2/21,200000,00分10秒,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01"
2022_origin_py/44.简单有效的次新投机策略，年化200%+,2023/9/1,2026/2/21,200000,00分09秒,0.00%,0.00%,0.65%,-0.64%,-0.04,0,0,0,0,0.00%,0,0.03%,47.05%,-0.105,0.469,0,0,0.008,0,0.348,"2023/09/01,2023/09/01"
2022_origin_py/45.股指期货跨合约套利,2023/9/1,2026/2/21,200000,00分13秒,0.00%,0.00%,-19.21%,23.77%,-0.04,0,0,0,0,0.00%,0,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0,0.176,"2023/09/01,2023/09/01"
2022_origin_py/24.龙头低波市值平均轮动策略,2023/9/1,2026/2/21,200000,00分12秒,-7.45%,-3.20%,-25.23%,23.77%,-0.104,0.597,-0.446,0.59,0.972,21.71%,-0.667,-0.04%,34.44%,-1.09,0.462,46,32,-0.886,0.162,0.176,"2024/10/08,2025/02/25"2022_origin_py/53.【指标研究】MACD日、周、月以及分别级别研究（包含低位二次金叉算法）,2023-09-01,2026-02-21,200000,,0.00%,0.00%,-19.21%,23.77%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0.000,0.176,"2023/09/01,2023/09/01"
2022_origin_py/54.指数估值自动报表系统——源代码,2023-09-01,2026-02-21,200000,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022_origin_py/55.【策略研发】三进兵策略（变形版）,2023-09-01,2026-02-21,200000,,-5.48%,-2.34%,-23.63%,23.77%,-0.077,0.253,-0.772,0.220,0.798,12.86%,-0.807,-0.04%,35.73%,-0.992,0.479,13,46,-0.790,0.082,0.176,"2024/10/08,2025/08/11"
2022_origin_py/56.胜率为100%，盈亏比90000+的单品种倍投策略,2023-09-01,2026-02-21,200000,00分17秒,0.00%,0.00%,-23.57%,30.84%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.04%,35.13%,-0.910,0.462,0,0,-0.743,0.000,0.161,"2023/09/01,2023/09/01"
2022_origin_py/59.【策略】夏普超过2.0，后市靠定增一步步往上爬,2023-09-01,2026-02-21,200000,00分41秒,130.10%,41.93%,85.90%,23.77%,0.354,0.474,1.528,0.630,2.134,17.71%,2.119,0.12%,22.03%,1.028,0.526,598,351,1.295,0.248,0.176,"2025/03/26,2025/04/08"
2022_origin_py/61.最简单的动量模型，能否应对A股暴涨？(二),2023-09-01,2026-02-21,200000,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022_origin_py/62.商品期货多因子 全市场对冲模型,2023-09-01,2026-02-21,200000,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022_origin_py/65.价值选股与RSRS择时 py3版本,2023-09-01,2026-02-21,200000,,19.08%,7.61%,-3.79%,23.77%,0.006,0.563,0.238,0.665,2.001,15.15%,0.231,-0.00%,21.78%,-0.407,0.503,127,64,-0.127,0.152,0.176,"2024/12/12,2025/04/07"
