策略名称,回测开始,回测结束,本金,回测耗时,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间
2024_2_origin_py/1.一颗耀眼的星—【回顾2】小市值成长股策略更新—改,2023-09-01,2026-02-21,200000,,67.69%,24.26%,15.97%,44.61%,0.105,0.763,0.635,0.561,1.808,39.51%,0.740,0.04%,39.76%,0.091,0.526,125,98,0.278,0.319,0.236,"2024/01/16,2024/02/07"
2024_2_origin_py/11.缠论交易策略,2023-09-01,2026-02-21,200000,00分11秒,33.52%,12.92%,7.88%,23.77%,0.037,0.966,0.263,1.000,67452.000,35.25%,0.279,0.03%,38.37%,-0.026,0.492,1,0,0.121,0.339,0.176,"2025/02/25,2025/04/07"
2024_2_origin_py/12.全市场选股？7年5倍不择时，回撤30%左右,2023-09-01,2026-02-21,200000,00分49秒,91.32%,31.34%,35.84%,40.84%,0.167,0.929,1.054,0.656,3.517,29.86%,1.370,0.06%,14.80%,0.563,0.518,59,31,0.920,0.259,0.209,"2023/11/21,2024/02/05"
2024_2_origin_py/13.【涨停研究三】连板股票收益统计与回测,2023-09-01,2026-02-21,200000,00分11秒,0.00%,0.00%,-19.21%,23.77%,-0.040,0.000,0.000,0.000,0.000,0.00%,0.000,-0.03%,34.05%,-0.717,0.487,0,0,-0.533,0.000,0.176,"2023/09/01,2023/09/01"
2024_2_origin_py/14.为实盘做的更新：分钟级别和盘中止损,2023-09-01,2026-02-21,200000,07分46秒,107.18%,35.80%,67.38%,23.77%,0.284,0.642,1.193,0.523,1.675,22.15%,1.581,0.10%,22.57%,0.807,0.550,190,173,1.059,0.267,0.176,"2024/01/02,2024/02/07"
2024_2_origin_py/15.高股息低杠杆小市值轮动策略,2023-09-01,2026-02-21,200000,02分33秒,90.85%,31.20%,31.97%,44.61%,0.161,0.867,0.728,0.681,2.823,48.83%,0.853,0.07%,46.72%,0.268,0.539,98,46,0.460,0.374,0.236,"2024/01/04,2024/02/07"
2024_2_origin_py/17.科技与狠活,2023-09-01,2026-02-21,200000,01分57秒,142.35%,45.05%,67.59%,44.61%,0.308,0.802,1.056,0.613,2.581,45.86%,1.290,0.11%,46.35%,0.595,0.539,138,87,0.825,0.389,0.236,"2024/01/16,2024/02/07"
2024_2_origin_py/18.动量ETF轮动-RSRS择时-卡尔曼滤波,2023-09-01,2026-02-21,200000,,-3.76%,-1.60%,-38.23%,55.81%,-0.192,0.825,-0.177,0.348,0.997,40.29%,-0.280,-0.07%,43.74%,-1.241,0.474,24,45,-1.237,0.316,0.324,"2023/09/04,2024/09/10"
2024_2_origin_py/2.ETF动量轮动RSRS择时-魔改3小优化,2023-09-01,2026-02-21,200000,00分22秒,-5.53%,-2.36%,-23.67%,23.77%,-0.140,1.417,-0.201,0.343,0.977,40.27%,-0.318,-0.04%,33.22%,-0.719,0.439,23,44,-0.562,0.317,0.176,"2023/09/04,2024/09/10"
2024_2_origin_py/21.行业ETF轮动+择时，15年至今年化收益35%，回撤16%,2023-09-01,2026-02-21,200000,01分05秒,-17.70%,-7.86%,-33.50%,23.77%,-0.144,0.466,-0.517,0.548,0.811,35.81%,-0.577,-0.06%,49.35%,-0.844,0.469,40,33,-0.737,0.229,0.176,"2024/03/22,2025/08/13"
2024_2_origin_py/22.菜场大妈选股法,2023-09-01,2026-02-21,200000,01分38秒,115.84%,38.16%,49.26%,44.61%,0.251,0.710,1.058,0.742,4.835,39.19%,1.284,0.08%,38.17%,0.508,0.560,69,24,0.752,0.323,0.236,"2024/01/04,2024/02/07"
2024_2_origin_py/23.低价小盘简单有效,2023-09-01,2026-02-21,200000,02分26秒,118.78%,38.95%,51.29%,44.61%,0.249,0.784,0.948,0.652,2.353,50.34%,1.225,0.09%,48.47%,0.468,0.546,131,70,0.688,0.368,0.236,"2024/01/09,2024/06/24"
2024_2_origin_py/24.宽基ETF动量轮动钝化RSRS择时-回撤小,2023-09-01,2026-02-21,200000,08分19秒,79.89%,27.98%,45.34%,23.77%,0.190,0.933,0.990,0.571,2.717,18.90%,1.707,0.07%,14.84%,0.738,0.516,24,18,1.042,0.242,0.176,"2024/10/08,2025/05/28"
2024_2_origin_py/26.近几年一直有效的股票BOLL择时策略,2023-09-01,2026-02-21,200000,01分41秒,134.27%,43.00%,79.03%,30.85%,0.333,0.718,1.588,0.489,1.924,25.44%,2.208,0.11%,22.24%,1.072,0.506,113,118,1.402,0.246,0.161,"2024/11/21,2025/01/23"
2024_2_origin_py/27.中证500指增+CTA，胜率52%盈亏比1.9。不输顶尖私募,2023-09-01,2026-02-21,200000,,24.12%,9.50%,-14.17%,44.61%,-0.005,0.474,0.407,0.446,1.714,16.29%,0.547,-0.02%,26.88%,-0.712,0.513,41,51,-0.499,0.135,0.236,"2023/10/12,2024/09/18"
2024_2_origin_py/28.【回顾2】小市值成长股策略更新FROEC-PB-CAP-HL,2023-09-01,2026-02-21,200000,04分31秒,138.08%,43.97%,64.64%,44.61%,0.286,0.895,1.074,0.688,2.576,47.51%,1.330,0.10%,44.89%,0.632,0.561,143,65,0.885,0.372,0.236,"2023/11/23,2024/02/07"
2024_2_origin_py/28.【回顾2】小市值成长股策略更新SG-MS-PEG-HL,2023-09-01,2026-02-21,200000,02分12秒,131.41%,42.27%,60.03%,44.61%,0.266,0.911,1.102,0.600,2.355,41.25%,1.304,0.09%,41.05%,0.656,0.556,186,124,0.933,0.347,0.236,"2023/09/06,2024/02/07"
2024_2_origin_py/3.截止到21年12月依然有效的小市值适配因子,2023-09-01,2026-02-21,200000,02分36秒,42.50%,16.04%,-1.46%,44.61%,-0.002,0.957,0.316,0.536,1.212,43.75%,0.386,0.02%,42.83%,-0.152,0.523,37,32,-0.023,0.381,0.236,"2024/01/15,2024/02/07"
2024_2_origin_py/30.【超跌反弹v1.0】3年2.3倍的超跌反弹小牛股,2023-09-01,2026-02-21,200000,105分23秒,18.96%,7.57%,-3.89%,23.77%,0.001,0.651,0.168,0.308,1.103,23.29%,0.251,0.00%,31.40%,-0.300,0.482,48,108,-0.096,0.212,0.176,"2024/05/20,2024/08/29"
2024_2_origin_py/31.《趋势永存》持续16年跑赢大盘的真正靠谱策略,2023-09-01,2026-02-21,200000,03分24秒,22.38%,8.86%,-1.13%,23.77%,0.020,0.523,0.343,0.541,1.360,13.59%,0.371,0.00%,28.03%,-0.331,0.514,205,174,-0.038,0.142,0.176,"2024/05/13,2025/04/07"
2024_2_origin_py/33.胜率88.9%之君正集团策略-大阳分歧反包,2023-09-01,2026-02-21,200000,108分41秒,-8.15%,-3.51%,-25.79%,23.77%,-0.073,-0.043,-0.253,0.667,0.693,45.09%,-0.141,-0.03%,52.09%,-0.452,0.486,4,2,-0.369,0.297,0.176,"2023/09/01,2024/11/19"
