ftype,batch,filename,family_id,family_name,strategy_name,original_category
md,2023_origin_explain,83.韶华研究之一，布林突破+均线金叉，四年五倍.md,06,技术指标与形态,韶华研究之一，布林突破+均线金叉，四年五倍,技术指标策略
md,2023_origin_explain,98.欧奈尔CANSLIM策略初探三.md,04,基本面价值选股,欧奈尔CANSLIM策略初探三,基本面选股策略
md,2023_origin_explain,28.F_Score 选股，年化80%+.md,04,基本面价值选股,F_Score 选股，年化80%+,基本面选股策略
md,2023_origin_explain,1.龙头底分型战法-两年23倍.md,03,打板与龙头,龙头底分型战法,龙头/涨停板策略
md,2023_origin_explain,0.7年40倍，模拟超过两年，年化高回撤低.md,15,其他,7年40倍，模拟超过两年，年化高回撤低,其他策略
md,2023_origin_explain,55.【分享】券商金股组合增强.md,15,其他,【分享】券商金股组合增强,其他策略
md,2023_origin_explain,6.21年度6.为了挣点积分自己实盘的策略分享出来.md,03,打板与龙头,21年度6.为了挣点积分自己实盘的策略分享出来,龙头/涨停板策略
md,2023_origin_explain,73.MACD多周期共振，精准打击！.md,06,技术指标与形态,MACD多周期共振，精准打击！,技术指标策略
md,2023_origin_explain,20.北向资金股票轮动-优质策略可直接实盘.md,10,北向资金,北向资金股票轮动-优质策略可直接实盘,北向资金策略
md,2023_origin_explain,79.过滤两个因子，12年15倍的roa选股500指数增强.md,04,基本面价值选股,过滤两个因子，12年15倍的roa选股500指数增强,基本面选股策略
md,2023_origin_explain,84.对 二板排板战法 的部分优化.md,03,打板与龙头,对 二板排板战法 的部分优化,龙头/涨停板策略
md,2023_origin_explain,16.8年13倍的ETF动量轮动策略，有滑点，无未来函数，回撤小！.md,02,ETF轮动,8年13倍的ETF动量轮动策略，有滑点，无未来函数，回撤小！,ETF轮动策略
md,2023_origin_explain,5.87.5%胜率之分歧反包二板.md,03,打板与龙头,87.5%胜率之分歧反包二板,龙头/涨停板策略
md,2023_origin_explain,53.利用聚宽的数据库，研究基金.md,15,其他,利用聚宽的数据库，研究基金,其他策略
md,2023_origin_explain,21.截止到21年12月依然有效的小市值适配因子.md,01,小市值与微盘股,截止到21年12月依然有效的小市值适配因子,基本面选股策略
md,2023_origin_explain,56.韶华研究之五-ETF轮动，躺赚，夏普2.md,02,ETF轮动,韶华研究之五-ETF轮动，躺赚，夏普2,ETF轮动策略
md,2023_origin_explain,30.跟着基金报团！！！174% 回撤 7.33%.md,09,行业板块轮动,跟着基金报团！！！174% 回撤 7.33%,板块轮动策略
md,2023_origin_explain,22.简单到发指的股指策略(2013到现在收益10949%).md,11,期货与做空,简单到发指的股指策略(2013到现在收益10949%),股指期货策略
md,2023_origin_explain,24.ROE+PB模型的优化.md,04,基本面价值选股,ROE+PB模型的优化,基本面选股策略
md,2023_origin_explain,93.布林线追龙头战法.md,03,打板与龙头,布林线追龙头战法,龙头/涨停板策略
md,2023_origin_explain,88.韶华研究之二，顺势而为，年化140.md,06,技术指标与形态,韶华研究之二，顺势而为，年化140,技术指标策略
md,2023_origin_explain,78.EPS+MS因子的大盘蓝筹策略.md,04,基本面价值选股,EPS+MS因子的大盘蓝筹策略,基本面选股策略
md,2023_origin_explain,72.优化了一下宽基etf追涨的策略，值得深入研究.md,07,趋势跟踪与动量,优化了一下宽基etf追涨的策略，值得深入研究,趋势跟踪策略
md,2023_origin_explain,58.北向RSRS与布林带择时.md,05,择时策略,北向RSRS与布林带择时,北向资金策略
md,2023_origin_explain,91.致敬市场--4 解析细节.md,07,趋势跟踪与动量,致敬市场--4 解析细节,趋势跟踪策略
md,2023_origin_explain,46.年化46%的北向资金+20日涨幅的创业板策略.md,10,北向资金,年化46%的北向资金+20日涨幅的创业板策略,北向资金策略
md,2023_origin_explain,36.PEG+EBIT对小市值因子的优化.md,01,小市值与微盘股,PEG+EBIT对小市值因子的优化,基本面选股策略
md,2023_origin_explain,7.ETF动量轮动RSRS择时-魔改3小优化.md,02,ETF轮动,ETF动量轮动RSRS择时-魔改3小优化,ETF轮动策略
md,2023_origin_explain,39.低风险高收益的期货策略.md,11,期货与做空,低风险高收益的期货策略,股指期货策略
md,2023_origin_explain,32.最适合上班族的策略-神奇公式策略.md,04,基本面价值选股,最适合上班族的策略-神奇公式策略,基本面选股策略
md,2023_origin_explain,45.敢于直接实盘的—八仙过海V2.md,03,打板与龙头,敢于直接实盘的—八仙过海V2,龙头/涨停板策略
md,2023_origin_explain,90.一个月轮动股票换仓，内日做T，相对高频交易.md,15,其他,一个月轮动股票换仓，内日做T，相对高频交易,其他策略
md,2023_origin_explain,50.缠论交易策略.md,06,技术指标与形态,缠论交易策略,技术指标策略
md,2023_origin_explain,14.2020年 267%年化 13%回撤 上涨趋势策略修改版.md,06,技术指标与形态,2020年 267%年化 13%回撤 上涨趋势策略修改版,技术指标策略
md,2023_origin_explain,80.趋与势的量化定义.md,07,趋势跟踪与动量,趋与势的量化定义,趋势跟踪策略
md,2023_origin_explain,92.【超跌反弹v1.0】3年2.3倍的超跌反弹小牛股.md,12,超跌反弹,【超跌反弹v1.0】3年2.3倍的超跌反弹小牛股,超跌反弹策略
md,2023_origin_explain,75.机器学习策略分享.md,08,机器学习与AI,机器学习策略分享,机器学习策略
md,2023_origin_explain,10.一个简单而持续稳定的懒人超额收益策略.md,15,其他,一个简单而持续稳定的懒人超额收益策略,其他策略
md,2023_origin_explain,49.【7日趋势】交易策略.md,06,技术指标与形态,【7日趋势】交易策略,技术指标策略
md,2023_origin_explain,65.PB-POE+双均线--加入jq以来第一个成功的交易策略 一.md,04,基本面价值选股,PB-POE+双均线--加入jq以来第一个成功的交易策略 一,基本面选股策略
md,2023_origin_explain,51.龙头战法之单阳不破.md,03,打板与龙头,龙头战法之单阳不破,龙头/涨停板策略
md,2023_origin_explain,64.韶华研究之七--不可多得的基本面三角.md,04,基本面价值选股,韶华研究之七--不可多得的基本面三角,基本面选股策略
md,2023_origin_explain,76.半年6.5倍--次新股排板一式.md,03,打板与龙头,半年6.5倍--次新股排板一式,龙头/涨停板策略
md,2023_origin_explain,87.【股指期货】收盘折溢价策略.md,11,期货与做空,【股指期货】收盘折溢价策略,股指期货策略
md,2023_origin_explain,27.从相关系数角度探讨etf轮动的可行性.md,02,ETF轮动,从相关系数角度探讨etf轮动的可行性,ETF轮动策略
md,2023_origin_explain,40.再改进可实盘-默默赚钱系列-风险控制-增强版本-V5.0.md,07,趋势跟踪与动量,再改进可实盘-默默赚钱系列-风险控制-增强版本-V5.0,趋势跟踪策略
md,2023_origin_explain,11.致敬市场--5 定投ETF之躺平赢.md,02,ETF轮动,致敬市场--5 定投ETF之躺平赢,ETF轮动策略
md,2023_origin_explain,18.【复现】FFScore财务模型.md,04,基本面价值选股,【复现】FFScore财务模型,基本面选股策略
md,2023_origin_explain,94.可转债回测.md,13,可转债,可转债回测,可转债策略
md,2023_origin_explain,38.随机森林策略，低换手率，年化近50%.md,08,机器学习与AI,随机森林策略，低换手率，年化近50%,机器学习策略
md,2023_origin_explain,52.筹码选股.md,04,基本面价值选股,筹码选股,基本面选股策略
md,2023_origin_explain,13.胜率65%之缩量分歧反包战法.md,03,打板与龙头,胜率65%之缩量分歧反包战法,龙头/涨停板策略
md,2023_origin_explain,60.抄底神器2.0，低回撤，高成功率，无未来函数.md,12,超跌反弹,抄底神器2.0，低回撤，高成功率，无未来函数,超跌反弹策略
md,2023_origin_explain,34.超稳+翻倍，贝塔值只有0.048的期指策略.md,11,期货与做空,超稳+翻倍，贝塔值只有0.048的期指策略,股指期货策略
md,2023_origin_explain,81.拥挤率指标-择时大盘顶底-Clone1-第二版.md,05,择时策略,拥挤率指标-择时大盘顶底-Clone1-第二版,其他策略
md,2023_origin_explain,70.回踩均线搏反弹，21年来70%，无未来（测试第一弹）.md,06,技术指标与形态,回踩均线搏反弹，21年来70%，无未来（测试第一弹）,技术指标策略
md,2023_origin_explain,85.最新解密--追涨龙头打板策略-适合近期实盘行情.md,03,打板与龙头,最新解密--追涨龙头打板策略,龙头/涨停板策略
md,2023_origin_explain,62.3年复合200+%收益+超低回撤11%以内，无惧大跌.md,06,技术指标与形态,3年复合200+%收益+超低回撤11%以内，无惧大跌,技术指标策略
md,2023_origin_explain,44.海龟突破系统，19-21年化150，无未来函数和过拟合.md,06,技术指标与形态,海龟突破系统，19-21年化150，无未来函数和过拟合,技术指标策略
md,2023_origin_explain,89.2019年到现在90多倍的新策略.md,03,打板与龙头,2019年到现在90多倍的新策略,龙头/涨停板策略
md,2023_origin_explain,17.20行代码8年胜率100%躲过了牛年第一场大跌.md,06,技术指标与形态,20行代码8年胜率100%躲过了牛年第一场大跌,技术指标策略
md,2023_origin_explain,69.选取向上趋势的股票.md,06,技术指标与形态,选取向上趋势的股票,技术指标策略
md,2023_origin_explain,82.势的度量.md,07,趋势跟踪与动量,势的度量,趋势跟踪策略
md,2023_origin_explain,54.ETF轮动策略-入门1.0.md,02,ETF轮动,ETF轮动策略-入门1.0,ETF轮动策略
md,2023_origin_explain,23.低AH溢价选股.md,04,基本面价值选股,低AH溢价选股,基本面选股策略
md,2023_origin_explain,48.【漂亮50 2.0止损版本】为了降低回撤，加入择时止损模块.md,05,择时策略,【漂亮50 2.0止损版本】为了降低回撤，加入择时止损模块,趋势跟踪策略
md,2023_origin_explain,8.iAlpha 基金投资策略.md,11,期货与做空,iAlpha 基金投资策略,股指期货策略
md,2023_origin_explain,29.价值成长轮动策略.md,04,基本面价值选股,价值成长轮动策略,基本面选股策略
md,2023_origin_explain,43.集合竞价摸奖策略1.0-致敬2022.md,03,打板与龙头,集合竞价摸奖策略1.0,龙头/涨停板策略
md,2023_origin_explain,41.大盘拥挤率极速版-180天3秒.md,05,择时策略,大盘拥挤率极速版-180天3秒,其他策略
md,2023_origin_explain,31.北向Boll带_ETF组合宝付费策略.md,10,北向资金,北向Boll带_ETF组合宝付费策略,北向资金策略
md,2023_origin_explain,96.市场宽度20210622.md,15,其他,市场宽度20210622,其他策略
md,2023_origin_explain,26.追涨大师（超额142）.md,06,技术指标与形态,追涨大师（超额142）,技术指标策略
md,2023_origin_explain,66.基于动量和反转效应的沪深300成分股策略.md,06,技术指标与形态,基于动量和反转效应的沪深300成分股策略,技术指标策略
md,2023_origin_explain,95.【复现】高频价量相关性，意想不到的选股因子.md,15,其他,【复现】高频价量相关性，意想不到的选股因子,其他策略
md,2023_origin_explain,86.【基本面三角3.0】看过之前策略的就略过吧.md,04,基本面价值选股,【基本面三角3.0】看过之前策略的就略过吧,基本面选股策略
md,2023_origin_explain,3.苦咖啡-默默赚钱系列-改.md,06,技术指标与形态,苦咖啡-默默赚钱系列-改,技术指标策略
md,2023_origin_explain,63.A股最强板块动量趋势（最终版）.md,09,行业板块轮动,A股最强板块动量趋势（最终版）,板块轮动策略
