时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%)
2023-09-01 16:00:00,0.24,0.02,42.4,0,192428.2,-182340,-0.22
2023-09-04 16:00:00,1.65,0.02,0,-4.1,172211.7,0,-1.6
2023-09-05 16:00:00,1.03,0.02,0,-6.4,0,-162073.6,-1
2023-09-06 16:00:00,1.04,0.02,0,-1.1,151941,0,-1.01
2023-09-07 16:00:00,-0.79,0.02,9.4,0,0,-141817.2,0.82
2023-09-08 16:00:00,-0.95,0.02,0,-1.5,131705.6,0,0.98
2023-09-11 16:00:00,0.07,0.02,7.2,0,0,-121576.8,-0.05
2023-09-12 16:00:00,0.23,0.02,0,-2.5,111448.7,0,-0.21
2023-09-13 16:00:00,-1.08,0.03,22,0,0,-101332,1.12
2023-09-14 16:00:00,-1.79,0.03,0,-5.5,91192.5,0,1.85
2023-09-15 16:00:00,-2.01,0.04,21,0,0,-81070.4,2.09
2023-09-18 16:00:00,-1.41,0.04,0.3,0,70936.6,0,1.47
2023-09-19 16:00:00,-2.27,0.04,5.7,0,0,-60804.6,2.36
2023-09-20 16:00:00,-2.86,0.05,3.3,0,50670.5,0,3
2023-09-21 16:00:00,-3.65,0.04,0,-1.2,0,-40536.4,3.83
2023-09-22 16:00:00,-1.91,0.05,2.8,0,30405,0,2
2023-09-25 16:00:00,-2.35,0.06,22.5,0,0,-20272.8,2.47
2023-09-26 16:00:00,-2.82,0.78,1446.16,0,199364,-91230.3,3.7
2023-09-27 16:00:00,-2.37,-2.78,0,-7117,0,0,-0.42
2023-09-28 16:00:00,-1.95,-3.2,0,-847,0,0,-1.27
2023-10-09 16:00:00,-1.96,-3.58,0,-759,0,0,-1.65
2023-10-10 16:00:00,-2.3,-5.37,0,-3574.69,182640.6,-361290.3,-3.14
2023-10-11 16:00:00,-2.12,-5.37,0,-7.8,162361.6,0,-3.32
2023-10-12 16:00:00,-1.33,-5.38,0,-8.8,0,-152199,-4.1
2023-10-13 16:00:00,-2.05,-5.38,0.8,0,142090.2,0,-3.4
2023-10-16 16:00:00,-3.04,-5.38,1.3,0,0,-131939.6,-2.41
2023-10-17 16:00:00,-3.07,-5.4,0,-45.97,188673,-30448.5,-2.4
2023-10-18 16:00:00,-4.41,-6.5,0,-2196,0,0,-2.19
2023-10-19 16:00:00,-5.84,-7.41,0,-1830,0,0,-1.67
2023-10-20 16:00:00,-6.65,-8.88,0,-2928,0,0,-2.39
2023-10-23 16:00:00,-8.1,-10.34,0,-2928,0,0,-2.44
2023-10-24 16:00:00,-7.1,-10.91,0,-1140.35,172595.9,-340316,-4.1
2023-10-25 16:00:00,-6.07,-10.91,0,-7.2,152281.5,0,-5.15
2023-10-26 16:00:00,-5.8,-10.91,5.4,0,0,-142129.4,-5.42
2023-10-27 16:00:00,-4.08,-10.91,5.4,0,131986.4,0,-7.12
2023-10-30 16:00:00,-2.82,-10.9,10.8,0,0,-121844.4,-8.31
2023-10-31 16:00:00,-3.43,-10.9,1.6,0,111702.8,0,-7.74
2023-11-01 16:00:00,-3.69,-10.89,28,0,0,-101565,-7.48
2023-11-02 16:00:00,-4.65,-10.88,11.6,0,91417.5,0,-6.53
2023-11-03 16:00:00,-3.51,-10.89,0,-8.5,0,-81262.4,-7.65
2023-11-06 16:00:00,-1.55,-10.89,0.1,0,71096.9,0,-9.49
2023-11-07 16:00:00,-1.46,-10.88,17.4,0,0,-60949.8,-9.56
2023-11-08 16:00:00,-1.33,-10.88,0,-0.3,50795.5,0,-9.68
2023-11-09 16:00:00,-1.86,-10.88,5.5,0,0,-40637.2,-9.19
2023-11-10 16:00:00,-2.21,-10.87,10.1,0,30481.8,0,-8.86
2023-11-13 16:00:00,-1.69,-10.87,4,0,0,-20322.2,-9.34
2023-11-14 16:00:00,-1.39,-10.87,2.4,0,10161.4,0,-9.61
2023-11-15 16:00:00,-0.68,-10.87,0,0,0,0,-10.26
2023-11-16 16:00:00,-1.56,-10.86,18,0,0,0,-9.45
2023-11-17 16:00:00,-1.15,-10.85,7.2,0,0,0,-9.81
2023-11-20 16:00:00,-0.49,-10.85,15.3,0,0,0,-10.41
2023-11-21 16:00:00,-0.84,-10.85,0,-0.9,0,0,-10.09
2023-11-22 16:00:00,-2.09,-10.84,4.5,0,0,0,-8.94
2023-11-23 16:00:00,-1.23,-10.84,4.5,0,0,0,-9.73
2023-11-24 16:00:00,-2.26,-10.83,21.6,0,0,0,-8.77
2023-11-27 16:00:00,-2.69,-10.84,0,-7.2,0,0,-8.38
2023-11-28 16:00:00,-2.23,-10.84,0,-0.9,0,0,-8.81
2023-11-29 16:00:00,-2.96,-10.84,0,0,0,0,-8.12
2023-11-30 16:00:00,-3.35,-10.83,7.2,0,0,0,-7.74
2023-12-01 16:00:00,-3.17,-10.82,27,0,0,0,-7.9
2023-12-04 16:00:00,-3.44,-10.82,2.7,0,0,0,-7.64
2023-12-05 16:00:00,-5.31,-10.82,2.7,0,0,0,-5.82
2023-12-06 16:00:00,-4.7,-10.82,0.9,0,0,0,-6.42
2023-12-07 16:00:00,-4.98,-10.81,9,0,0,0,-6.14
2023-12-08 16:00:00,-5.36,-10.82,0,-13.5,0,0,-5.77
2023-12-11 16:00:00,-4.27,-10.81,19.8,0,0,0,-6.83
2023-12-12 16:00:00,-4.06,-10.8,16.2,0,0,0,-7.03
2023-12-13 16:00:00,-5.11,-10.79,11.7,0,0,0,-5.99
2023-12-14 16:00:00,-5.55,-10.79,0.9,0,0,0,-5.55
2023-12-15 16:00:00,-5.78,-10.79,6.3,0,0,0,-5.32
2023-12-18 16:00:00,-6.9,-10.79,0.9,0,0,0,-4.18
2023-12-19 16:00:00,-6.84,-10.79,2.7,0,0,0,-4.24
2023-12-20 16:00:00,-8.06,-10.78,7.2,0,0,0,-2.96
2023-12-21 16:00:00,-7.29,-10.79,0,-3.6,0,0,-3.78
2023-12-22 16:00:00,-8.03,-10.78,17.1,0,0,0,-2.99
2023-12-25 16:00:00,-7.86,-10.77,10.8,0,0,0,-3.16
2023-12-26 16:00:00,-8.86,-10.77,0,-0.9,0,0,-2.1
2023-12-27 16:00:00,-8.36,-10.77,2.7,0,0,0,-2.63
2023-12-28 16:00:00,-6.4,-10.78,0,-14.4,0,0,-4.68
2023-12-29 16:00:00,-5.2,-10.75,51.3,0,0,0,-5.85
2024-01-02 16:00:00,-5.87,-10.74,25.2,0,0,0,-5.17
2024-01-03 16:00:00,-6.53,-10.74,1.8,0,0,0,-4.5
2024-01-04 16:00:00,-7.31,-10.74,6.3,0,0,0,-3.7
2024-01-05 16:00:00,-8.53,-10.73,16.2,0,0,0,-2.41
2024-01-08 16:00:00,-10.33,-10.73,0,0,0,0,-0.45
2024-01-09 16:00:00,-10,-10.73,3.6,0,0,0,-0.81
2024-01-10 16:00:00,-10.67,-10.72,7.2,0,0,0,-0.06
2024-01-11 16:00:00,-9.2,-10.72,0,-1.8,0,0,-1.67
2024-01-12 16:00:00,-9.82,-10.71,19.8,0,0,0,-0.99
2024-01-15 16:00:00,-10.13,-10.71,8.1,0,0,0,-0.65
2024-01-16 16:00:00,-10.12,-10.71,0,-0.9,0,0,-0.66
2024-01-17 16:00:00,-12.43,-10.71,3.6,0,0,0,1.96
2024-01-18 16:00:00,-12.25,-10.7,8.1,0,0,0,1.77
2024-01-19 16:00:00,-12.95,-10.7,15.3,0,0,0,2.58
2024-01-22 16:00:00,-16.99,-10.69,14.4,0,0,0,7.59
2024-01-23 16:00:00,-16.16,-10.7,0,-11.7,0,-90189.9,6.51
2024-01-24 16:00:00,-15.22,-10.7,0,0,0,0,5.33
2024-01-25 16:00:00,-13.09,-10.7,0,0,0,0,2.75
2024-01-26 16:00:00,-13.84,-10.7,0,0,0,0,3.64
2024-01-29 16:00:00,-16.08,-10.7,0,0,0,0,6.41
2024-01-30 16:00:00,-18.35,-10.69,11.9,0,170419.9,0,9.38
2024-01-31 16:00:00,-21.01,-10.68,10.2,0,0,0,13.08
2024-02-01 16:00:00,-21.44,-10.68,13.1,0,150394.5,-160420.8,13.7
2024-02-02 16:00:00,-23.84,-10.67,17.8,0,0,-140390.6,17.29
2024-02-05 16:00:00,-26.83,-10.66,9.2,0,130365.3,0,22.1
2024-02-06 16:00:00,-23.09,-9.48,2377.21,0,177158,-150429,17.7
2024-02-07 16:00:00,-21.4,-18.25,0,-17539,0,0,4.01
2024-02-08 16:00:00,-18.98,-18.18,136.66,0,80272,-104592,0.99
2024-02-19 16:00:00,-17.97,-15.59,5177.4,0,0,-50172,2.9
2024-02-20 16:00:00,-17.69,-14.96,1249.03,0,100351,-154533.9,3.32
2024-02-21 16:00:00,-16.86,-14.97,0,-2.8,80281.6,0,2.27
2024-02-22 16:00:00,-15.8,-14.96,5,0,0,-70248.5,1
2024-02-23 16:00:00,-14.75,-14.96,8,0,60221.4,0,-0.25
2024-02-26 16:00:00,-14.26,-14.96,7.7,0,0,-50188,-0.82
2024-02-27 16:00:00,-12.21,-14.12,1671.71,0,169974,-60229.8,-2.18
2024-02-28 16:00:00,-15.37,-22.67,0,-17100,0,0,-8.63
2024-02-29 16:00:00,-12.59,-25.16,0,-4975.64,140529.2,-280287.4,-14.38
2024-03-01 16:00:00,-11.7,-25.16,0,-6.8,120492,0,-15.24
2024-03-04 16:00:00,-11.6,-25.15,17.6,0,0,-110457.6,-15.33
