日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2023-09-01,10:00:00,基金,银华日利(511880.XSHG),买,市价单,1900股,101.278,192428.2,1900股,-,0,0,全部成交,2023-09-01 10:00:00
2023-09-01,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1800股,101.3,-182340,-1800股,-,39.6,0,全部成交,2023-09-01 14:00:00
2023-09-04,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1700股,101.301,172211.7,1700股,-,0,0,全部成交,2023-09-04 14:00:00
2023-09-05,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1600股,101.296,-162073.6,-1600股,-,-5.96,0,全部成交,2023-09-05 14:00:00
2023-09-06,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1500股,101.294,151941,1500股,-,0,0,全部成交,2023-09-06 14:00:00
2023-09-07,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1400股,101.298,-141817.2,-1400股,-,4.66,0,全部成交,2023-09-07 14:00:00
2023-09-08,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1300股,101.312,131705.6,1300股,-,0,0,全部成交,2023-09-08 14:00:00
2023-09-11,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1200股,101.314,-121576.8,-1200股,-,6.3,0,全部成交,2023-09-11 14:00:00
2023-09-12,14:00:00,基金,银华日利(511880.XSHG),买,市价单,1100股,101.317,111448.7,1100股,-,0,0,全部成交,2023-09-12 14:00:00
2023-09-13,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-1000股,101.332,-101332,-1000股,-,17.2,0,全部成交,2023-09-13 14:00:00
2023-09-14,14:00:00,基金,银华日利(511880.XSHG),买,市价单,900股,101.325,91192.5,900股,-,0,0,全部成交,2023-09-14 14:00:00
2023-09-15,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-800股,101.338,-81070.4,-800股,-,13.31,0,全部成交,2023-09-15 14:00:00
2023-09-18,14:00:00,基金,银华日利(511880.XSHG),买,市价单,700股,101.338,70936.6,700股,-,0,0,全部成交,2023-09-18 14:00:00
2023-09-19,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-600股,101.341,-60804.6,-600股,-,6.41,0,全部成交,2023-09-19 14:00:00
2023-09-20,14:00:00,基金,银华日利(511880.XSHG),买,市价单,500股,101.341,50670.5,500股,-,0,0,全部成交,2023-09-20 14:00:00
2023-09-21,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-400股,101.341,-40536.4,-400股,-,2.49,0,全部成交,2023-09-21 14:00:00
2023-09-22,14:00:00,基金,银华日利(511880.XSHG),买,市价单,300股,101.35,30405,300股,-,0,0,全部成交,2023-09-22 14:00:00
2023-09-25,14:00:00,基金,银华日利(511880.XSHG),卖,市价单,-200股,101.364,-20272.8,-200股,-,5.02,0,全部成交,2023-09-25 14:00:00
2023-09-26,10:00:00,基金,银华日利(511880.XSHG),卖,市价单,-900股,101.367,-91230.3,-900股,-,25.27,0,全部成交,2023-09-26 10:00:00
2023-09-26,10:00:00,股票,日久光电(003015.XSHE),买,市价单,8800股,11.36,99968,8800股,-,0,24.99,全部成交,2023-09-26 10:00:00
2023-09-26,10:00:00,股票,双环传动(002472.XSHE),买,市价单,3300股,30.12,99396,3300股,-,0,24.85,全部成交,2023-09-26 10:00:00
