策略名称,回测开始,回测结束,本金,回测耗时,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间,综合分,夏普分,回撤分,信息比率分,年化分,胜率分,盈亏比分,交易次数分,阿尔法分,索提诺分,下单时段分,打分细节
2025_origin_py/62基金溢价（模拟效果好！）,2023/9/1,2026/2/21,200000,17分59秒,1591.04%,228.12%,1266.24%,23.77%,2.219,0.417,7.809,0.689,2.889,12.00%,15.814,0.46%,18.11%,6.628,0.555,182,82,7.394,0.287,0.176,"2025/03/12,2025/04/07",86.3,100,88,100,100,92,90,92,100,100,0,夏普:100 回撤:88 信息比率:100 年化:100 胜率:92 盈亏比:90 交易次数:92 阿尔法:100 索提诺:100 下单时段:0
2025_origin_py/13首板高开-低开-弱转强混合策略（今年收益1138.61）,2023/9/1,2026/2/21,200000,21分08秒,1056.30%,179.68%,834.21%,23.77%,1.738,0.356,2.834,0.61,1.451,45.75%,5.293,0.45%,54.47%,2.429,0.521,186,119,2.716,0.62,0.176,"2024/08/30,2024/10/22",70.7,93,30,100,90,88,45,100,100,100,0,夏普:93 回撤:30 信息比率:100 年化:90 胜率:88 盈亏比:45 交易次数:100 阿尔法:100 索提诺:100 下单时段:0
2025_origin_py/16集合竞价三合一，今年收益1067,2023/9/1,2026/2/21,200000,72分26秒,968.37%,170.54%,763.16%,23.77%,1.644,0.408,2.71,0.648,1.415,42.21%,4.953,0.44%,51.50%,2.324,0.513,169,92,2.603,0.615,0.176,"2024/08/30,2024/10/22",70.0,92,30,100,90,88,45,92,100,100,0,夏普:92 回撤:30 信息比率:100 年化:90 胜率:88 盈亏比:45 交易次数:92 阿尔法:100 索提诺:100 下单时段:0
2025_origin_py/43小市值再优化【年化98 回撤27】无未来函数,2023/9/1,2026/2/21,200000,03分09秒,547.67%,119.23%,395.01%,30.84%,1.086,0.832,3.47,0.711,4.016,16.14%,5.253,0.29%,15.80%,3.002,0.548,150,61,3.517,0.332,0.161,"2025/11/17,2025/12/12",92.4,97,78,100,80,88,100,92,100,100,100,夏普:97 回撤:78 信息比率:100 年化:80 胜率:88 盈亏比:100 交易次数:92 阿尔法:100 索提诺:100 下单时段:100
2025_origin_py/25冷饭热吃之三，14年至今年华99.99,2023/9/1,2026/2/21,200000,03分33秒,501.04%,112.46%,359.37%,30.84%,1.015,0.872,3.284,0.7,2.992,19.81%,4.745,0.27%,17.54%,2.856,0.555,149,64,3.354,0.33,0.161,"2024/05/29,2024/06/24",91.9,96,78,100,80,92,90,92,100,100,100,夏普:96 回撤:78 信息比率:100 年化:80 胜率:92 盈亏比:90 交易次数:92 阿尔法:100 索提诺:100 下单时段:100
2025_origin_py/83大小外择时小市值,2023/9/1,2026/2/21,200000,,496.40%,111.77%,381.85%,23.77%,1.038,0.734,4.002,0.613,3.706,20.99%,5.701,0.28%,18.43%,3.715,0.551,265,167,4.251,0.269,0.176,"2024/12/12,2025/04/07",81.0,100,65,100,80,88,100,100,100,100,0,夏普:100 回撤:65 信息比率:100 年化:80 胜率:88 盈亏比:100 交易次数:100 阿尔法:100 索提诺:100 下单时段:0
2025_origin_py/44国九条 年化130.74% 回撤11% 众神Debug版,2023/9/1,2026/2/21,200000,02分56秒,494.09%,111.42%,332.94%,37.22%,1.007,0.661,3.286,0.724,3.519,21.58%,5.168,0.26%,21.12%,2.675,0.531,165,63,3.22,0.327,0.221,"2024/05/20,2024/07/24",89.9,96,65,100,80,88,100,92,100,100,100,夏普:96 回撤:65 信息比率:100 年化:80 胜率:88 盈亏比:100 交易次数:92 阿尔法:100 索提诺:100 下单时段:100
2025_origin_py/64大小外择时小市值3.0,2023/9/1,2026/2/21,200000,00分42秒,489.15%,110.68%,375.99%,23.77%,1.026,0.759,3.772,0.639,3.061,22.63%,5.444,0.28%,18.46%,3.5,0.551,258,146,4.006,0.283,0.176,"2024/12/12,2025/04/07",80.8,99,65,100,80,88,100,100,100,100,0,夏普:99 回撤:65 信息比率:100 年化:80 胜率:88 盈亏比:100 交易次数:100 阿尔法:100 索提诺:100 下单时段:0
2025_origin_py/76小市值止损策略【年化104.11】,2023/9/1,2026/2/21,200000,03分20秒,410.64%,98.39%,290.28%,30.84%,0.865,0.996,2.6,0.558,2.109,26.28%,3.707,0.25%,28.08%,2.247,0.556,129,102,2.654,0.363,0.161,"2024/04/03,2024/06/24",84.3,91,55,100,70,82,80,92,100,100,100,夏普:91 回撤:55 信息比率:100 年化:70 胜率:82 盈亏比:80 交易次数:92 阿尔法:100 索提诺:100 下单时段:100
2025_origin_py/8国九条后中小板微盘小改，年化135.40,2023/9/1,2026/2/21,200000,03分08秒,340.68%,86.48%,221.14%,37.22%,0.752,0.715,2.431,0.743,2.853,21.24%,3.39,0.22%,19.69%,1.921,0.528,179,62,2.354,0.339,0.221,"2024/12/16,2025/01/27",84.6,89,65,90,70,88,90,92,85,100,100,夏普:89 回撤:65 信息比率:90 年化:70 胜率:88 盈亏比:90 交易次数:92 阿尔法:85 索提诺:100 下单时段:100
2025_origin_py/15小市值排除3个bug版，22年至今收益506,2023/9/1,2026/2/21,200000,,340.64%,86.48%,221.11%,37.22%,0.754,0.69,2.425,0.754,3.602,18.22%,3.416,0.22%,19.69%,1.895,0.543,126,41,2.319,0.34,0.221,"2024/05/29,2024/07/25",86.4,88,78,90,70,75,100,88,85,100,100,夏普:88 回撤:78 信息比率:90 年化:70 胜率:75 盈亏比:100 交易次数:88 阿尔法:85 索提诺:100 下单时段:100
2025_origin_py/34十年回测 年化103.32% 最大回撤23.89%,2023/9/1,2026/2/21,200000,03分05秒,271.86%,73.64%,184.21%,30.84%,0.623,0.928,2.074,0.57,2.038,33.24%,2.981,0.19%,30.67%,1.697,0.534,102,77,2.049,0.336,0.161,"2024/03/21,2024/06/24",76.4,81,45,90,55,82,80,88,85,92,100,夏普:81 回撤:45 信息比率:90 年化:55 胜率:82 盈亏比:80 交易次数:88 阿尔法:85 索提诺:92 下单时段:100
2025_origin_py/47多策略整合大E小十年百倍（年化64）,2023/9/1,2026/2/21,200000,02分19秒,268.87%,73.05%,131.83%,59.11%,0.638,0.299,3.044,0.581,3.472,11.36%,4.553,0.16%,33.91%,1.21,0.558,97,70,1.618,0.227,0.352,"2025/11/14,2025/12/12",78.2,95,92,80,55,82,100,88,85,100,0,夏普:95 回撤:92 信息比率:80 年化:55 胜率:82 盈亏比:100 交易次数:88 阿尔法:85 索提诺:100 下单时段:0
2025_origin_py/28韶华研究之十九，一致性用在微盘控制回撤,2023/9/1,2026/2/21,200000,12分39秒,252.59%,69.80%,170.63%,30.28%,0.604,0.7,2.39,0.631,3.367,21.79%,3.238,0.18%,18.03%,1.874,0.531,82,48,2.27,0.275,0.161,"2024/05/29,2024/06/24",73.2,88,65,90,55,88,100,82,85,100,0,夏普:88 回撤:65 信息比率:90 年化:55 胜率:88 盈亏比:100 交易次数:82 阿尔法:85 索提诺:100 下单时段:0
2025_origin_py/79国九条-新的红利因子，修正「审计意见」函数,2023/9/1,2026/2/21,200000,03分08秒,246.08%,68.48%,152.21%,37.22%,0.587,0.569,2.249,0.708,2.973,16.18%,3.088,0.17%,19.32%,1.579,0.536,109,45,1.975,0.287,0.221,"2024/12/12,2024/12/25",82.5,85,78,80,55,88,90,88,70,100,100,夏普:85 回撤:78 信息比率:80 年化:55 胜率:88 盈亏比:90 交易次数:88 阿尔法:70 索提诺:100 下单时段:100
2025_origin_py/6国九小市值策略【年化100.5】,2023/9/1,2026/2/21,200000,03分01秒,229.08%,64.95%,139.81%,37.22%,0.541,0.671,2.033,0.735,2.902,18.38%,2.756,0.16%,19.26%,1.485,0.523,108,39,1.875,0.3,0.221,"2024/05/29,2024/07/24",80.9,81,78,80,55,88,90,82,70,92,100,夏普:81 回撤:78 信息比率:80 年化:55 胜率:88 盈亏比:90 交易次数:82 阿尔法:70 索提诺:92 下单时段:100
2025_origin_py/5四大搅屎棍策略,2023/9/1,2026/2/21,200000,03分26秒,217.91%,62.58%,138.52%,33.29%,0.539,0.524,2.553,0.669,3.797,16.57%,3.598,0.16%,17.82%,1.772,0.545,212,105,2.213,0.229,0.208,"2025/11/17,2025/12/16",76.6,91,78,90,55,92,100,100,70,100,0,夏普:91 回撤:78 信息比率:90 年化:55 胜率:92 盈亏比:100 交易次数:100 阿尔法:70 索提诺:100 下单时段:0
2025_origin_py/9干积分-量化策略简易框架,2023/9/1,2026/2/21,200000,00分27秒,207.89%,60.40%,148.76%,23.77%,0.523,0.761,2.229,0.667,3.388,22.82%,2.915,0.16%,19.00%,1.951,0.563,102,51,2.332,0.253,0.176,"2024/12/12,2025/01/10",72.0,85,65,90,55,92,100,88,70,92,0,夏普:85 回撤:65 信息比率:90 年化:55 胜率:92 盈亏比:100 交易次数:88 阿尔法:70 索提诺:92 下单时段:0
2025_origin_py/51“四大搅屎棍策略”学习笔记-有魔改,2023/9/1,2026/2/21,200000,,206.12%,60.01%,129.67%,33.29%,0.48,0.902,1.713,0.65,2.179,26.01%,2.291,0.15%,22.93%,1.409,0.545,139,75,1.758,0.327,0.208,"2024/01/04,2024/02/05",64.2,71,55,80,55,88,80,92,70,85,0,夏普:71 回撤:55 信息比率:80 年化:55 胜率:88 盈亏比:80 交易次数:92 阿尔法:70 索提诺:85 下单时段:0
2025_origin_py/99韶华研究之二十，竞价异动,2023/9/1,2026/2/21,200000,13分16秒,203.26%,59.38%,132.77%,30.28%,0.493,0.784,0.852,0.458,1.227,49.38%,1.379,0.22%,51.36%,0.605,0.477,189,224,0.746,0.65,0.161,"2024/05/30,2024/10/11",42.5,39,30,45,55,60,45,100,70,55,0,夏普:39 回撤:30 信息比率:45 年化:55 胜率:60 盈亏比:45 交易次数:100 阿尔法:70 索提诺:55 下单时段:0
2025_origin_py/54发一个学习策略5年70倍，思路可以学习,2023/9/1,2026/2/21,200000,31分47秒,185.88%,55.48%,97.70%,44.61%,0.473,0.331,2.175,0.591,1.769,23.02%,2.782,0.13%,28.35%,1.072,0.518,518,358,1.415,0.237,0.236,"2023/12/21,2024/04/16",66.0,84,65,65,55,82,65,100,70,92,0,夏普:84 回撤:65 信息比率:65 年化:55 胜率:82 盈亏比:65 交易次数:100 阿尔法:70 索提诺:92 下单时段:0
2024_1_origin_py/28.正黄旗大妈选股法，修改版，年化92%,2023/9/1,2026/2/21,200000,01分06秒,172.80%,52.45%,88.65%,44.61%,0.383,0.792,1.409,0.75,5.761,38.92%,1.742,0.12%,37.80%,0.914,0.571,60,20,1.22,0.344,0.236,"2024/01/04,2024/02/07",57.0,61,45,65,55,88,100,72,50,72,0,夏普:61 回撤:45 信息比率:65 年化:55 胜率:88 盈亏比:100 交易次数:72 阿尔法:50 索提诺:72 下单时段:0
2024_1_origin_py/23.wywy1995大神机器学习策略年化提升35pt,2023/9/1,2026/2/21,200000,06分06秒,165.32%,50.68%,114.36%,23.77%,0.419,0.892,1.273,0.651,2.354,45.72%,1.618,0.15%,46.33%,1.02,0.565,196,105,1.245,0.367,0.176,"2023/12/04,2024/02/07",54.3,56,30,65,55,92,80,100,70,72,0,夏普:56 回撤:30 信息比率:65 年化:55 胜率:92 盈亏比:80 交易次数:100 阿尔法:70 索提诺:72 下单时段:0
2025_origin_py/19机器学习线性回归小市值,2023/9/1,2026/2/21,200000,09分00秒,158.37%,49.01%,78.67%,44.61%,0.348,0.797,1.207,0.61,2.065,38.10%,1.506,0.12%,38.62%,0.728,0.55,119,76,0.99,0.373,0.236,"2024/01/18,2024/02/07",50.1,53,45,45,35,88,80,88,50,72,0,夏普:53 回撤:45 信息比率:45 年化:35 胜率:88 盈亏比:80 交易次数:88 阿尔法:50 索提诺:72 下单时段:0
2025_origin_py/70动态保形回归小市值策略改进,2023/9/1,2026/2/21,200000,12分08秒,151.07%,47.22%,102.84%,23.77%,0.389,0.809,1.371,0.535,2.738,22.43%,1.965,0.13%,19.86%,1.08,0.508,38,33,1.335,0.315,0.176,"2024/12/11,2025/01/03",66.1,60,65,65,35,72,90,60,50,72,100,夏普:60 回撤:65 信息比率:65 年化:35 胜率:72 盈亏比:90 交易次数:60 阿尔法:50 索提诺:72 下单时段:100
2024_1_origin_py/2.“7年40倍”策略扩容到50只,2023/9/1,2026/2/21,200000,03分56秒,146.96%,46.21%,70.78%,44.61%,0.316,0.83,1.237,0.673,3.064,45.19%,1.433,0.11%,43.29%,0.757,0.582,836,407,1.043,0.341,0.236,"2024/01/02,2024/02/07",51.7,54,30,65,35,92,100,100,50,55,0,夏普:54 回撤:30 信息比率:65 年化:35 胜率:92 盈亏比:100 交易次数:100 阿尔法:50 索提诺:55 下单时段:0
2025_origin_py/17多品种ETF动量轮动+EPO优化,2023/9/1,2026/2/21,200000,00分15秒,144.10%,45.49%,97.22%,23.77%,0.39,0.471,1.657,0.721,5.468,15.72%,2.204,0.13%,26.22%,1.149,0.539,31,12,1.422,0.25,0.176,"2025/03/06,2025/04/07",62.4,70,78,65,35,88,100,45,50,85,0,夏普:70 回撤:78 信息比率:65 年化:35 胜率:88 盈亏比:100 交易次数:45 阿尔法:50 索提诺:85 下单时段:0
2024_2_origin_py/17.科技与狠活,2023/9/1,2026/2/21,200000,01分57秒,142.35%,45.05%,67.59%,44.61%,0.308,0.802,1.056,0.613,2.581,45.86%,1.29,0.11%,46.35%,0.595,0.539,138,87,0.825,0.389,0.236,"2024/01/16,2024/02/07",56.1,47,30,45,35,88,90,92,50,55,100,夏普:47 回撤:30 信息比率:45 年化:35 胜率:88 盈亏比:90 交易次数:92 阿尔法:50 索提诺:55 下单时段:100
2024_1_origin_py/29.高增股池小市值轮动,2023/9/1,2026/2/21,200000,01分31秒,141.38%,44.81%,95.02%,23.77%,0.361,0.88,1.282,0.686,2.986,42.80%,1.647,0.13%,42.74%,1.017,0.543,168,77,1.27,0.318,0.176,"2024/01/04,2024/02/07",51.9,56,30,65,35,92,90,92,50,72,0,夏普:56 回撤:30 信息比率:65 年化:35 胜率:92 盈亏比:90 交易次数:92 阿尔法:50 索提诺:72 下单时段:0
2025_origin_py/46高增股池小市值轮动,2023/9/1,2026/2/21,200000,,141.38%,44.81%,95.02%,23.77%,0.361,0.88,1.282,0.686,2.986,42.80%,1.647,0.13%,42.74%,1.017,0.543,168,77,1.27,0.318,0.176,"2024/01/04,2024/02/07",51.9,56,30,65,35,92,90,92,50,72,0,夏普:56 回撤:30 信息比率:65 年化:35 胜率:92 盈亏比:90 交易次数:92 阿尔法:50 索提诺:72 下单时段:0
2025_origin_py/1首板低开策略,2023/9/1,2026/2/21,200000,25分31秒,140.21%,44.51%,94.07%,23.77%,0.402,0.051,1.191,0.541,1.982,27.02%,2.677,0.14%,39.09%,0.745,0.496,33,28,0.928,0.34,0.176,"2024/09/04,2025/04/08",50.2,53,55,45,35,72,65,60,70,92,0,夏普:53 回撤:55 信息比率:45 年化:35 胜率:72 盈亏比:65 交易次数:60 阿尔法:70 索提诺:92 下单时段:0
2024_2_origin_py/28.【回顾2】小市值成长股策略更新FROEC-PB-CAP-HL,2023/9/1,2026/2/21,200000,04分31秒,138.08%,43.97%,64.64%,44.61%,0.286,0.895,1.074,0.688,2.576,47.51%,1.33,0.10%,44.89%,0.632,0.561,143,65,0.885,0.372,0.236,"2023/11/23,2024/02/07",46.6,48,30,45,35,92,90,92,50,55,0,夏普:48 回撤:30 信息比率:45 年化:35 胜率:92 盈亏比:90 交易次数:92 阿尔法:50 索提诺:55 下单时段:0
2024_2_origin_py/9.分享几个截止2022年3月仍有效的策略,2023/9/1,2026/2/21,200000,02分21秒,137.81%,43.91%,64.45%,44.61%,0.273,0.991,0.973,0.611,2.644,47.83%,1.262,0.11%,45.03%,0.574,0.509,58,37,0.806,0.41,0.236,"2023/09/27,2024/02/07",44.5,44,30,45,35,88,90,72,50,55,0,夏普:44 回撤:30 信息比率:45 年化:35 胜率:88 盈亏比:90 交易次数:72 阿尔法:50 索提诺:55 下单时段:0
2025_origin_py/89基于Gyro.大神的小市值策略的因子匹配研究,2023/9/1,2026/2/21,200000,04分57秒,137.42%,43.81%,91.81%,23.77%,0.347,0.958,1.005,0.639,4.338,42.29%,1.234,0.14%,42.46%,0.767,0.545,23,13,0.96,0.396,0.176,"2024/01/26,2024/02/07",54.2,45,30,45,35,88,100,45,50,55,100,夏普:45 回撤:30 信息比率:45 年化:35 胜率:88 盈亏比:100 交易次数:45 阿尔法:50 索提诺:55 下单时段:100
2024_1_origin_py/18.微盘股研究,2023/9/1,2026/2/21,200000,05分22秒,136.31%,43.52%,90.92%,23.77%,0.35,0.845,1.208,0.675,3.522,37.60%,1.44,0.13%,37.96%,0.931,0.561,1604,773,1.166,0.327,0.176,"2024/01/04,2024/02/07",64.2,53,45,65,35,92,100,100,50,55,100,夏普:53 回撤:45 信息比率:65 年化:35 胜率:92 盈亏比:100 交易次数:100 阿尔法:50 索提诺:55 下单时段:100
